brand,model,year,mileage,fuelType,transmission,condition,location,price
Chevrolet,Captiva,2020,78047,Hybrid,Automatic,used,Cairo,1244842.33
Kia,Sportage,2021,82451,Petrol,Automatic,used,Cairo,1660113.43
Nissan,Sunny,2011,296050,Petrol,Manual,used,Cairo,224130.36
Nissan,X-Trail,2018,102896,Petrol,Automatic,used,Cairo,1466641.39
Toyota,Yaris,2013,218826,Diesel,Automatic,used,Dakahlia,468003.64
Toyota,Yaris,1997,300000,Petrol,Automatic,used,Alexandria,172792.87
Toyota,Camry,2013,129301,Petrol,Automatic,very_used,Cairo,997048.44
Kia,Rio,2007,278640,Petrol,Manual,used,Cairo,243264.58
Hyundai,Tucson,2017,132820,Petrol,Manual,used,Sharqia,1062142.66
Toyota,Fortuner,2014,210867,Petrol,Automatic,used,Alexandria,1453492.83
Mercedes,E200,2022,44332,Petrol,Automatic,used,Sharqia,5456150.58
Honda,Civic,2003,300000,Petrol,Manual,very_used,Cairo,298484.76
Chevrolet,Captiva,2013,224139,Petrol,Manual,used,Cairo,614256.4
Kia,Rio,2005,300000,Petrol,Automatic,very_used,Giza,178328.31
BMW,320i,2014,209128,Petrol,Automatic,very_used,Alexandria,1223370.25
Honda,CR-V,2010,225849,Petrol,Automatic,very_used,Cairo,874932.9
Audi,A4,2009,300000,Petrol,Automatic,very_used,Cairo,916303.68
Hyundai,Accent RB,2011,207814,Petrol,Automatic,used,Alexandria,282844.81
Skoda,Octavia,2001,289714,Diesel,Automatic,very_used,Monufia,258656.74
Honda,Civic,2019,106646,Petrol,Automatic,used,Suez,1096499.62
Toyota,Corolla,2006,300000,Diesel,Manual,used,Gharbia,326806.14
Hyundai,Accent RB,2005,300000,Petrol,Automatic,used,Alexandria,180318.23
Hyundai,Tucson,2019,105317,Petrol,Manual,very_used,Giza,1036278.3
Hyundai,Elantra AD,2017,171593,Diesel,Manual,very_used,Alexandria,474639.73
Toyota,Yaris,2023,36899,Hybrid,Automatic,used,Cairo,1140793.5
Chevrolet,Captiva,2019,54955,Petrol,Automatic,used,Giza,1113044.34
Kia,Cerato,2020,84878,Petrol,Automatic,used,Cairo,827031.2
Hyundai,Tucson,2005,300000,Petrol,Automatic,used,Cairo,430219.36
Toyota,Yaris,2001,300000,Petrol,Automatic,used,Cairo,224530.78
MG,MG 5,2020,89371,Petrol,Automatic,used,Cairo,704664.11
Hyundai,Accent RB,2020,95360,Petrol,Automatic,very_used,Assiut,466365.48
Chevrolet,Optra,2017,126577,Petrol,Automatic,very_used,Giza,329051.44
Nissan,Sunny,2005,220965,Petrol,Manual,used,Cairo,196486.08
Nissan,Sunny,2010,300000,Petrol,Automatic,very_used,Qalyubia,186450.9
Chevrolet,Captiva,2016,142906,Petrol,Automatic,very_used,Cairo,724236.94
Audi,A4,2018,118039,Petrol,Automatic,very_used,Alexandria,2158550.88
Chevrolet,Aveo,2009,195819,Petrol,Manual,very_used,Alexandria,168283.05
Hyundai,Accent RB,2018,148535,Petrol,Automatic,used,Cairo,450303.69
Nissan,X-Trail,2019,131911,Diesel,Automatic,used,Giza,1465420.66
Toyota,Camry,2005,300000,Petrol,Automatic,very_used,Suez,507220.04
Hyundai,Elantra AD,2023,50099,Petrol,Automatic,new,Cairo,1106547.52
Nissan,Qashqai,1998,300000,Petrol,Manual,used,Cairo,281753.95
Chevrolet,Captiva,2024,8272,Petrol,Automatic,new,Aswan,1653201.74
Nissan,Sunny,2003,300000,Petrol,Manual,very_used,Cairo,133515.09
Nissan,X-Trail,1997,300000,Petrol,Manual,very_used,Cairo,292505.75
MG,MG 5,2019,140806,Petrol,Manual,used,Alexandria,609809.87
Nissan,Sunny,2006,213887,Petrol,Automatic,very_used,Alexandria,171971.06
Hyundai,Accent RB,2001,300000,Petrol,Manual,used,Luxor,135158.17
Chevrolet,Optra,2015,198515,Petrol,Automatic,very_used,Dakahlia,272023.44
Toyota,Yaris,2014,223840,Petrol,Manual,used,Cairo,492717.65
Hyundai,Tucson,2012,164007,Petrol,Automatic,used,Giza,820829.23
Toyota,Yaris,2015,177285,Petrol,Automatic,used,Gharbia,565720.6
Kia,Sportage,2011,266129,Diesel,Automatic,very_used,Alexandria,603691.29
Honda,Accord,2020,109671,Petrol,Automatic,used,Cairo,1752569.07
Chevrolet,Aveo,2019,86970,Petrol,Automatic,used,Giza,436987.31
Skoda,Octavia,2019,95830,Petrol,Automatic,used,Cairo,1089038.36
Hyundai,Tucson,2006,300000,Petrol,Automatic,very_used,Cairo,392014.59
Kia,Cerato,2003,300000,Petrol,Manual,used,Ismailia,220021.01
Toyota,Corolla,2014,202460,Petrol,Automatic,very_used,Alexandria,502706.4
Nissan,Sunny,2018,111881,Petrol,Automatic,very_used,Giza,411150.34
MG,ZS,2021,45063,Petrol,Automatic,used,Cairo,1095785.27
MG,ZS,2016,139688,Petrol,Manual,very_used,Giza,587405.86
Hyundai,Tucson,2009,223895,Diesel,Automatic,used,Gharbia,652433.08
Nissan,Sunny,2022,35050,Petrol,Automatic,used,Alexandria,659251.73
Skoda,Octavia,2009,300000,Petrol,Automatic,used,Luxor,438015.05
Skoda,Kodiaq,2012,210015,Petrol,Automatic,very_used,Qalyubia,828293.07
Kia,Rio,2004,300000,Petrol,Automatic,very_used,Gharbia,155598.21
Toyota,Corolla,2016,139505,Petrol,Automatic,used,Giza,764811.41
Nissan,Sunny,2020,143783,Petrol,Automatic,used,Cairo,526255.78
Toyota,Corolla,2003,300000,Diesel,Automatic,used,Giza,273636.86
Hyundai,Elantra AD,2017,89514,Diesel,Automatic,used,Giza,668461.34
Toyota,Fortuner,1999,300000,Petrol,Automatic,very_used,Sharqia,475943.61
Honda,Accord,2008,198653,Petrol,Automatic,very_used,Dakahlia,664017.8
Honda,CR-V,2010,300000,Petrol,Automatic,very_used,Giza,738109.83
Skoda,Kamiq,2019,86257,Petrol,Automatic,used,Dakahlia,1291164.08
Hyundai,Accent RB,2013,216965,Petrol,Manual,used,Cairo,311288.61
Hyundai,Accent RB,2001,300000,Petrol,Automatic,used,Cairo,145368.91
Kia,Cerato,1996,300000,Petrol,Automatic,used,Giza,167963.18
Chevrolet,Captiva,2009,300000,Petrol,Automatic,used,Giza,455771.55
BMW,X3,2013,223507,Petrol,Automatic,very_used,Cairo,1874306.65
BMW,320i,2016,198808,Petrol,Automatic,new,Qalyubia,1817216.67
Toyota,Corolla,2019,83382,Hybrid,Automatic,used,Luxor,958785.99
Chevrolet,Optra,2019,126289,Petrol,Manual,used,Cairo,424070.48
BMW,520i,2006,258072,Petrol,Automatic,very_used,Alexandria,1068673.34
Toyota,Yaris,2006,300000,Petrol,Manual,very_used,Alexandria,223292.67
MG,RX5,2020,68460,Petrol,Manual,used,Cairo,1280069.01
MG,MG 5,2016,198676,Petrol,Automatic,very_used,Giza,410712.75
Nissan,Sunny,2015,150442,Petrol,Automatic,used,Gharbia,373441.02
Kia,Rio,2021,65301,Petrol,Automatic,used,Cairo,760806.29
MG,MG 5,2007,150309,Diesel,Manual,very_used,Sharqia,274796.77
Chevrolet,Aveo,2004,300000,Petrol,Manual,used,Sharqia,119090.89
Skoda,Kamiq,2011,300000,Petrol,Automatic,very_used,Alexandria,466961.32
Hyundai,Tucson,2013,242534,Petrol,Manual,used,Dakahlia,702592.07
Skoda,Kodiaq,2008,202482,Diesel,Manual,used,Cairo,872892.02
Hyundai,Tucson,2001,300000,Petrol,Automatic,used,Cairo,355540.34
Chevrolet,Optra,2020,100319,Hybrid,Automatic,used,Cairo,515033.17
Hyundai,Tucson,2020,63729,Petrol,Automatic,used,Qalyubia,1436264.84
Chevrolet,Optra,2010,179055,Petrol,Automatic,used,Suez,241438.46
MG,RX5,2009,202709,Petrol,Automatic,used,Sharqia,595480.97
MG,MG 5,2011,280302,Petrol,Manual,very_used,Monufia,257632.75
Hyundai,Elantra AD,2015,181695,Petrol,Manual,very_used,Giza,453470.88
